"","paper","depth","totalcells","qPCRtotal","Cell.stain","CARDFISH.Bac.per.cc","CARDFISH.Arc.per.cc","CARDFISH.Total.per.cc","FISH.yield","Fraction.Arc.CARDFISH","Fish.or.cardFish","Fixative","Bac.permeabilization","Arc.permeabilization","environment","qPCRbac","qPCRarc","Cell.stain.1","Bac.probe","Arc.probe","core","qPCR.Bac.per.cc","qPCR.Arc.per.cc","qPCRuniversal","percentqPCR","SYBR.vs.Taqman","DNA.extraction.procedure"
"1","Al Ali 2009",25,1006814.06356577,NA,"DAPI",748643.605956209,91732.680492772,840376.286448981,0.834688664829207,0.109156674185072,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"2","Al Ali 2009",100,705236.976457375,NA,"DAPI",434866.528556083,112726.903524202,547593.432080286,0.776467273215052,0.205858757465292,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"3","Al Ali 2009",500,102463.122067506,NA,"DAPI",53193.0716829042,27834.9100298611,81027.9817127654,0.790801413013567,0.343522193709978,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"4","Al Ali 2009",1000,69325.6901909174,NA,"DAPI",33161.0795144967,20777.1415459572,53938.221060454,0.778040880832379,0.385202573193324,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"5","Al Ali 2009",1800,63786.2492335032,NA,"DAPI",26317.8529583069,20321.3270678769,46639.1800261838,0.731179221017544,0.435713643689025,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"6","Al Ali 2009",2000,57320.8121757452,NA,"DAPI",21571.106647497,21422.2609442127,42993.3675917097,0.75004812318242,0.498268969010548,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"7","Al Ali 2009",2200,37287.8786834863,NA,"DAPI",13440.5426690349,14131.8546465626,27572.3973155976,0.739446659050856,0.512536305233362,"CARDFISH","formaldehyde","lysozyme/achromopeptidase","proteinase K","seawater",NA,NA,"DAPI","EUB338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"8","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0213675213675214,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"9","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.048738730836246,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"10","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0556442360086945,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"11","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0585400060925874,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"12","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0591277612087377,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"13","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0608465608465608,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"14","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0635337805073714,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"15","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.074074074074074,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"16","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.0899470899470898,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"17","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.112535612535612,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"18","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.116402116402116,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"19","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.122507022109323,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"20","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.135849510285347,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"21","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.164563191609631,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"22","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.172364672364672,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"23","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.173789173789173,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"24","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.179894179894179,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"25","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.192566649968299,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"26","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.211640211640211,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"27","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.215919817234705,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"28","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.23015873015873,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"29","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.238095238095238,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"30","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.243279298209034,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"31","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.269230769230769,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"32","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.272486772486772,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"33","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.283068783068783,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"34","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.291005291005291,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"35","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.319088319088319,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"36","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.328042328042328,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"37","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.33068783068783,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"38","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.335964943484515,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"39","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.341269841269841,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"40","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.356501668059886,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"41","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.357245852577038,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"42","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.38095238095238,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"43","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.391534391534391,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"44","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.431623931623931,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"45","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.439153439153439,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"46","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.444444444444444,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"47","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.494708994708994,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"48","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.521007230093737,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"49","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.56685964511666,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"50","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.584656084656084,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"51","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.611111111111111,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"52","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.623931623931623,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"53","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.625424936854038,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"54","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.630455223178905,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"55","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.709364487359247,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"56","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.795754502690187,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"57","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.836882610916024,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"58","Bouvier 2002",1,NA,NA,"DAPI",NA,NA,NA,0.920860086171027,NA,"FISH","formalin","none","none","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"59","Garneau 2008",3,570000,NA,"DAPI",416100,2280,418380,0.734,0.00544959128065395,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"60","Garneau 2008",3,650000,NA,"DAPI",526500,9100,535600,0.824,0.0169902912621359,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"61","Garneau 2008",3,7e+05,NA,"DAPI",546000,38500,584500,0.835,0.0658682634730539,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"62","Garneau 2008",3,780000,NA,"DAPI",351000,17940,368940,0.473,0.0486257928118393,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"63","Garneau 2008",3,1200000,NA,"DAPI",516000,2400,518400,0.432,0.00462962962962963,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
"64","Garneau 2008",3,1210000,NA,"DAPI",1016400,52030,1068430,0.883,0.0486976217440544,"CARDFISH","gluteraldehyde","lysozyme","lysozyme","seawater",NA,NA,"DAPI","Eub338","ARCH915",NA,NA,NA,NA,NA,NA,NA
