"","paper","core","depth","totalcells","CARDFISH.Bac.per.cc","CARDFISH.Arc.per.cc","CARDFISH.Total.per.cc","FISH.yield","qPCR.Bac.per.cc","qPCR.Arc.per.cc","qPCRtotal","qPCRuniversal","Fraction.Arc.CARDFISH","percentqPCR","Fish.or.cardFish","sulfate","CARDFISH.Arc.nd","Cell.stain","Fixative","Bac.permeabilization","Arc.permeabilization","Bac.formamide","Arc.formamide","Sonication","Average.cells.per.field","Filter","SYBR.vs.Taqman","Arc.forward","Arc.reverse","TaqMan.Arc","Bac.forward","Bac.reverse","Taqman.Bac","Universal.forward","Universal.reverse","Taqman.Universal","Arc.standard","Bac.standard","DNA.extraction.procedure","Mud.volcano.or.seep.","Water.depth","Environment.Type","Non.intertidal.marine.sediments.measured.with.FISH.or.CARDFISH.protK","DNA.extraction.efficiency.from.spiking.as.a.fraction.of.total.cells","Template.DNA.dilution.factor","Uses.516.for.Arc","depth_log10","paperNumber"
"1","Amaro 2012","NE Atlantic Canyon [1]",0.01,104838803.003316,59624053.1439944,19366315.2972378,78990368.4412323,0.753445920578984,NA,NA,NA,NA,0.245173122741491,NA,"CARDFISH",NA,NA,"SYBR Green I","formalin","lysozyme","proteinase K",0.55,"0.55","3 times, 60 W, 1 minute","20","0.2 µm, Anodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3500,"Deep-sea",TRUE,NA,NA,FALSE,-2,1
"2","Amaro 2012","NE Atlantic Canyon [1]",0.0347038761673276,7762804.93205146,5247557.09351977,1254880.95653955,6502438.05005932,0.837640273970009,NA,NA,NA,NA,0.192986222533578,NA,"CARDFISH",NA,NA,"SYBR Green I","formalin","lysozyme","proteinase K",0.55,"0.55","3 times, 60 W, 1 minute","20","0.2 µm, Anodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3500,"Deep-sea",TRUE,NA,NA,FALSE,-1.45962201500549,1
"3","Amaro 2012","NE Atlantic Canyon [1]",0.0645993347831648,3460072.22916522,1486775.79704104,1807120.30908191,3293896.10612295,0.951973221356031,NA,NA,NA,NA,0.548626990912887,NA,"CARDFISH",NA,NA,"SYBR Green I","formalin","lysozyme","proteinase K",0.55,"0.55","3 times, 60 W, 1 minute","20","0.2 µm, Anodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3500,"Deep-sea",TRUE,NA,NA,FALSE,-1.18977195416418,1
"4","Amaro 2012","NE Atlantic Canyon [1]",0.0953102468977868,8140679.58394425,3663176.1141864,3224461.00749479,6887637.1216812,0.846076430187179,NA,NA,NA,NA,0.468151987471102,NA,"CARDFISH",NA,NA,"SYBR Green I","formalin","lysozyme","proteinase K",0.55,"0.55","3 times, 60 W, 1 minute","20","0.2 µm, Anodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3500,"Deep-sea",TRUE,NA,NA,FALSE,-1.02086040542741,1
"5","Amaro 2012","NE Atlantic Canyon [1]",0.125005526416783,6081262.73112837,3043135.09553908,1858093.79776672,4901228.8933058,0.805955787474484,NA,NA,NA,NA,0.379107737715442,NA,"CARDFISH",NA,NA,"SYBR Green I","formalin","lysozyme","proteinase K",0.55,"0.55","3 times, 60 W, 1 minute","20","0.2 µm, Anodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3500,"Deep-sea",TRUE,NA,NA,FALSE,-0.903070786677868,1
"6","Biddle 2006","Peru Margin 1227 [2]",34.5,6728715.39655979,1248000,1300000,2548000,0.378675549467098,NA,NA,NA,NA,0.510204081632653,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,427,"Deep-sea",TRUE,NA,NA,FALSE,1.53781909507327,2
"7","Biddle 2006","Peru Margin 1227 [2]",38,4975755.50490016,1470000,1500000,2970000,0.596894280089752,NA,NA,NA,NA,0.505050505050505,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,427,"Deep-sea",TRUE,NA,NA,FALSE,1.57978359661681,2
"8","Biddle 2006","Peru Margin 1227 [2]",40.5,2928753.04188938,1666000,1700000,3366000,1.14929458095536,NA,NA,NA,NA,0.505050505050505,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,427,"Deep-sea",TRUE,NA,NA,FALSE,1.60745502321467,2
"9","Biddle 2006","Peru Margin 1229 [2]",0.7,NA,1260000,2800000,4060000,NA,NA,NA,NA,NA,0.689655172413793,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,-0.154901959985743,2
"10","Biddle 2006","Peru Margin 1229 [2]",4.3,43153471.083323,3672000,5400000,9072000,0.210226426107955,NA,NA,NA,NA,0.595238095238095,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,0.633468455579587,2
"11","Biddle 2006","Peru Margin 1229 [2]",12.9,26195400.2379994,6348000,9200000,15548000,0.593539318305428,NA,NA,NA,NA,0.591715976331361,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.11058971029925,2
"12","Biddle 2006","Peru Margin 1229 [2]",29.8,118083205.898711,5040000,6300000,11340000,0.0960339780216264,NA,NA,NA,NA,0.555555555555556,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.47421626407626,2
"13","Biddle 2006","Peru Margin 1229 [2]",30.4,86492480.1129216,5074000,5900000,10974000,0.126878082183246,NA,NA,NA,NA,0.537634408602151,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.48287358360875,2
"14","Biddle 2006","Peru Margin 1229 [2]",49.8,26030575.6488512,810000,1e+06,1810000,0.0695336140243936,NA,NA,NA,NA,0.552486187845304,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.69722934275972,2
"15","Biddle 2006","Peru Margin 1229 [2]",54.3,26030575.6488512,2144000,3200000,5344000,0.205297034997989,NA,NA,NA,NA,0.598802395209581,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.73479982958885,2
"16","Biddle 2006","Peru Margin 1229 [2]",86.8,36643757.4647834,3008000,3200000,6208000,0.169414940756723,NA,NA,NA,NA,0.515463917525773,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.93851972517649,2
"17","Biddle 2006","Peru Margin 1229 [2]",89.1,36643757.4647834,6272000,6400000,12672000,0.345816064637434,NA,NA,NA,NA,0.505050505050505,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,1.94987770403687,2
"18","Biddle 2006","Peru Margin 1229 [2]",121.4,17392465.4873132,945000,1500000,2445000,0.140578114229032,NA,NA,NA,NA,0.613496932515337,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,153,"",TRUE,NA,NA,FALSE,2.08421868673924,2
"19","Biddle 2006","Peru Margin 1230 [2]",1.3,146417044.815022,918000,1700000,2618000,0.0178804319080985,NA,NA,NA,NA,0.649350649350649,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5088,"Deep-sea",TRUE,NA,NA,FALSE,0.113943352306837,2
"20","Biddle 2006","Peru Margin 1230 [2]",9.1,18895799.5975908,2709000,4300000,7009000,0.370928997410283,NA,NA,NA,NA,0.613496932515337,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5088,"Deep-sea",TRUE,NA,NA,FALSE,0.959041392321094,2
"21","Biddle 2006","Peru Margin 1230 [2]",10.3,15507842.0268017,1891000,3100000,4991000,0.321837170598863,NA,NA,NA,NA,0.62111801242236,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5088,"Deep-sea",TRUE,NA,NA,FALSE,1.01283722470517,2
"22","Biddle 2006","Peru Margin 1230 [2]",10.7,15507842.0268017,1624000,2900000,4524000,0.291723374031107,NA,NA,NA,NA,0.641025641025641,NA,"FISH",NA,NA,"AO","formaldehyde","none","none",0.2,"0.2","None","unknown","directly on glass slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,5088,"Deep-sea",TRUE,NA,NA,FALSE,1.02938377768521,2
"23","Breuker 2013","New Jersey shallow shelf [3]",1.37130801687764,1592885.20684259,NA,NA,NA,NA,NA,668954.878691416,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,0.137135014968771,3
"24","Breuker 2013","New Jersey shallow shelf [3]",3.79746835443037,541023.127746904,NA,NA,NA,NA,4314402.26144375,964110.880490746,5278513.1419345,NA,NA,0.182648191747689,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,0.57949416342922,3
"25","Breuker 2013","New Jersey shallow shelf [3]",6.22362869198312,2388752.93264889,NA,NA,NA,NA,NA,517947.46792312,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,0.794043674304078,3
