"","paper","Sample","depth","Date","qPCRbac","qPCRarc","qPCR.MCG..copies.mL.water.","qPCRtotal","totalcells","CARDFISH.Bac.per.cc","CARDFISH.Arc.per.cc","CARDFISH.Total.per.cc","FISH.yield","Fraction.Arc.CARDFISH","Fish.or.cardFish","Cell.stain","Fixative","Bac.permeabilization","Arc.permeabilization","Bac.probe","Arc.probe","Counting.method","depth_log10"
"1","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",2200,NA,NA,NA,NA,NA,37287.8786834863,13440.5426690349,14131.8546465626,27572.3973155976,0.739446659050856,0.512536305233362,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",3.34242268082221
"2","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",1800,NA,NA,NA,NA,NA,63786.2492335032,26317.8529583069,20321.3270678769,46639.1800261838,0.731179221017544,0.435713643689025,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",3.25527250510331
"3","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",1000,NA,NA,NA,NA,NA,69325.6901909174,33161.0795144967,20777.1415459572,53938.221060454,0.778040880832379,0.385202573193324,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",3
"4","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",2000,NA,NA,NA,NA,NA,57320.8121757452,21571.106647497,21422.2609442127,42993.3675917097,0.75004812318242,0.498268969010548,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",3.30102999566398
"5","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",500,NA,NA,NA,NA,NA,102463.122067506,53193.0716829042,27834.9100298611,81027.9817127654,0.790801413013567,0.343522193709978,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",2.69897000433602
"6","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",25,NA,NA,NA,NA,NA,1006814.06356577,748643.605956209,91732.680492772,840376.286448981,0.834688664829207,0.109156674185072,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",1.39794000867204
"7","Al Ali 2009","La Seyne-sur-Mer, French Mediterranean coast",100,NA,NA,NA,NA,NA,705236.976457375,434866.528556083,112726.903524202,547593.432080286,0.776467273215052,0.205858757465292,"CARDFISH","DAPI","formaldehyde","lysozyme/achromopeptidase","proteinase K","EUB338","ARCH915","Microscope-eye",2
"8","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048738730836246,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"9","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0556442360086945,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"10","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0585400060925874,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"11","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0591277612087377,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"12","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608465608465608,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"13","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0635337805073714,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"14","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074074074074074,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"15","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0899470899470898,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"16","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116402116402116,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"17","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122507022109323,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"18","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135849510285347,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"19","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164563191609631,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"20","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179894179894179,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"21","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192566649968299,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"22","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211640211640211,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"23","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215919817234705,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
